zip_file,video,video_path
OpenVid_part155.zip,q-54ldrOPbo_2_0to110.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-54ldrOPbo_2_0to110.mp4
OpenVid_part155.zip,q-6kPgdX7Xg_4_0to1577.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-6kPgdX7Xg_4_0to1577.mp4
OpenVid_part155.zip,q-8bb2BpfOU_20_0to217.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-8bb2BpfOU_20_0to217.mp4
OpenVid_part155.zip,q-9RsWLCW2Q_25_302to425.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-9RsWLCW2Q_25_302to425.mp4
OpenVid_part155.zip,q-9RsWLCW2Q_45_301to451.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-9RsWLCW2Q_45_301to451.mp4
OpenVid_part155.zip,q-9RsWLCW2Q_71_0to162.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-9RsWLCW2Q_71_0to162.mp4
OpenVid_part155.zip,q-9bzZ2kC30_20_0to162.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-9bzZ2kC30_20_0to162.mp4
OpenVid_part155.zip,q-AM7mXOeAo_1_0to1476.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-AM7mXOeAo_1_0to1476.mp4
OpenVid_part155.zip,q-CynpRSpw0_10_84to268.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-CynpRSpw0_10_84to268.mp4
OpenVid_part155.zip,q-CynpRSpw0_61_0to102.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-CynpRSpw0_61_0to102.mp4
OpenVid_part155.zip,q-EEGYlEH4w_2_1138to1416.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-EEGYlEH4w_2_1138to1416.mp4
OpenVid_part155.zip,q-EEGYlEH4w_2_648to768.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-EEGYlEH4w_2_648to768.mp4
OpenVid_part155.zip,q-Ez3B3q3Ho_12_0to510.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-Ez3B3q3Ho_12_0to510.mp4
OpenVid_part155.zip,q-EzQdwhPWo_46_19to330.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-EzQdwhPWo_46_19to330.mp4
OpenVid_part155.zip,q-F99XOqab4_6_99to240.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-F99XOqab4_6_99to240.mp4
OpenVid_part155.zip,q-GScvOBjK8_3_51to205.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-GScvOBjK8_3_51to205.mp4
OpenVid_part155.zip,q-INSvF-qg8_24_21to861.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-INSvF-qg8_24_21to861.mp4
OpenVid_part155.zip,q-IiKxoQqss_0_0to499.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-IiKxoQqss_0_0to499.mp4
OpenVid_part155.zip,q-KoqXHAbCQ_3_0to136.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-KoqXHAbCQ_3_0to136.mp4
OpenVid_part155.zip,q-MYFkpLW7Q_35_0to121.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-MYFkpLW7Q_35_0to121.mp4
OpenVid_part155.zip,q-OF2n0tg90_18_0to188.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-OF2n0tg90_18_0to188.mp4
OpenVid_part155.zip,q-OiFpxxfqI_9_22to257.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-OiFpxxfqI_9_22to257.mp4
OpenVid_part155.zip,q-Pe1_nplS8_79_0to110.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-Pe1_nplS8_79_0to110.mp4
OpenVid_part155.zip,q-W7x4UdQjM_9_78to198.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-W7x4UdQjM_9_78to198.mp4
OpenVid_part155.zip,q-XhzJxKw2g_12_0to305.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/q-XhzJxKw2g_12_0to305.mp4
