zip_file,video,video_path
OpenVid_part47.zip,6mZLZ5q6BTQ_63_276to394.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mZLZ5q6BTQ_63_276to394.mp4
OpenVid_part47.zip,6mb687Qh5Fk_0_0to102.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mb687Qh5Fk_0_0to102.mp4
OpenVid_part47.zip,6mb7FKZipns_22_18to164.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mb7FKZipns_22_18to164.mp4
OpenVid_part47.zip,6me7XGLd5Mw_15_0to154.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6me7XGLd5Mw_15_0to154.mp4
OpenVid_part47.zip,6mfnGW3ksZA_0_0to208.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mfnGW3ksZA_0_0to208.mp4
OpenVid_part47.zip,6mgrx-_vaFY_24_0to109.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mgrx-_vaFY_24_0to109.mp4
OpenVid_part47.zip,6mgrx-_vaFY_6_54to609.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mgrx-_vaFY_6_54to609.mp4
OpenVid_part47.zip,6mk4u-hI6YM_4_28to434.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mk4u-hI6YM_4_28to434.mp4
OpenVid_part47.zip,6mlx2nGJEhM_7_90to278.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mlx2nGJEhM_7_90to278.mp4
OpenVid_part47.zip,6mm6qdSVfUc_25_0to171.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mm6qdSVfUc_25_0to171.mp4
OpenVid_part47.zip,6mmW3C0ROvg_34_0to113.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mmW3C0ROvg_34_0to113.mp4
OpenVid_part47.zip,6ms7Avdghew_0_0to485.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6ms7Avdghew_0_0to485.mp4
OpenVid_part47.zip,6mszQ0r7jTo_4_214to684.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mszQ0r7jTo_4_214to684.mp4
OpenVid_part47.zip,6mtsbZ-Fhl4_7_41to188.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mtsbZ-Fhl4_7_41to188.mp4
OpenVid_part47.zip,6mu2fqwkPeY_10_706to985.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mu2fqwkPeY_10_706to985.mp4
OpenVid_part47.zip,6mw6-_kGUcE_0_0to298.mp4,mnt/bn/videodataset-uswest/VDiT/dataset/panda-ours/6mw6-_kGUcE_0_0to298.mp4
